,Area (km2),Capital,Population
196,449964.0,Stockholm,9828655
197,692.7,Singapore,4701069
198,410.0,Jamestown,7460
199,20273.0,Ljubljana,2007000
200,62049.0,Longyearbyen,2550
201,48845.0,Bratislava,5455000
202,71740.0,Freetown,5245695
203,61.2,San Marino,31477
204,196190.0,Dakar,12323252
205,637657.0,Mogadishu,10112453
206,163270.0,Paramaribo,492829
207,644329.0,Juba,8260490
208,1001.0,São Tomé,175808
209,21040.0,San Salvador,6052064
210,21.0,Philipsburg,37429
211,185180.0,Damascus,22198110
212,17363.0,Mbabane,1354051
213,430.0,Cockburn Town,20556
214,1284000.0,N'Djamena,10543464
215,7829.0,Port-aux-Français,140
216,56785.0,Lomé,6587239
217,514000.0,Bangkok,67089500
218,143100.0,Dushanbe,7487489
219,10.0,None,1466
220,15007.0,Dili,1154625
221,488100.0,Ashgabat,4940916
222,163610.0,Tunis,10589025
223,748.0,Nuku'alofa,122580
224,780580.0,Ankara,77804122
225,5128.0,Port of Spain,1228691
226,26.0,Funafuti,10472
227,35980.0,Taipei,22894384
228,945087.0,Dodoma,41892895
229,603700.0,Kiev,45415596
230,236040.0,Kampala,33398682
231,0.0,None,0
232,9629091.0,Washington,310232863
233,176220.0,Montevideo,3477000
234,447400.0,Tashkent,27865738
235,0.44,Vatican City,921
236,389.0,Kingstown,104217
237,912050.0,Caracas,27223228
238,153.0,Road Town,21730
239,352.0,Charlotte Amalie,108708
240,329560.0,Hanoi,89571130
241,12200.0,Port Vila,221552
242,274.0,Mata-Utu,16025
243,2944.0,Apia,192001
244,10908.0,Pristina,1800000
245,527970.0,Sanaa,23495361
246,374.0,Mamoudzou,159042
247,1219912.0,Pretoria,49000000
248,752614.0,Lusaka,13460305
249,390580.0,Harare,11651858
